Material,Material_desc,Productos_Por_Empaque,BrandPresRet,ProdKey,Brand,Presentation,MLSize,Returnability,Pack,Size,Flavor,Container,Ncb,ProductType,ProductCategory,SegAg,SegDet,GlobalCategory,GlobalSubcategory,BrandGrouper,GlobalFlavor
4995,COCA COLA 235ML LATA 8 MPK,8,COCA-COLA 235 ML NO RETORNABLE,COLAS REGULAR INDIVIDUAL NO RETORNABLE,COCA-COLA,LATA 235 ML,235,NO RETORNABLE,235 ML,INDIVIDUAL,COLA,LATA,0,COLAS REGULAR,REFRESCOS,COLAS,COLAS REGULAR,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
2695,COCA COLA LIGHT 3 LITROS NR PET 6B,6,COCA-COLA LIGHT 3.00 L NO RETORNABLE,COLAS LIGHT FAMILIAR,COCA-COLA LIGHT,3 LTS. NR,3000,NO RETORNABLE,3 LTS.,FAMILIAR,COLA,PLASTICO,0,COLAS LIGHT,REFRESCOS,COLAS,COLAS LIGHT,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
5887,CIEL MINERALIZADA 2L PNR 4,4,CIEL MINERALIZADA 2.00 L NO RETORNABLE,AGUA MINERAL FAMILIAR,CIEL MINERALIZADA,2 LTS. NR,2000,NO RETORNABLE,2 LTS.,FAMILIAR,AGUA MINERAL,PLASTICO,0,AGUA MINERAL,AGUA,AGUA MINERAL,AGUA MINERAL,AGUA,AGUA MINERAL,CIEL,SIN SABOR
14510,VALLE FRUT CITRUS 500 ML RT VID 24 ETIQ,24,VALLE FRUT 500 ML RETORNABLE,NARANJADAS INDIVIDUAL,VALLE FRUT,500 ML RET,500,RETORNABLE,500 ML,INDIVIDUAL,CITRUS,VIDRIO,1,NARANJADAS,CATEGORIAS EN EXPANSION,BEBIDAS DE FRUTA,BEBIDAS DE FRUTA,BEBIDAS EMERGENTES,BEBIDAS DE FRUTA,VALLE FRUT,CITRUS
3439,COCA COLA SIN AZUCAR 235ML NR LATA 24MPK,24,COCA-COLA SIN AZUCAR 235 ML NO RETORNABLE,COLAS LIGHT INDIVIDUAL,COCA-COLA SIN AZUCAR,LATA 235 ML,235,NO RETORNABLE,235 ML,INDIVIDUAL,COLA,LATA,0,COLAS LIGHT,REFRESCOS,COLAS,COLAS LIGHT,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
402,COCA-COLA 600 ML NR 24B,24,COCA-COLA 600 ML NO RETORNABLE,COLAS REGULAR INDIVIDUAL NO RETORNABLE,COCA-COLA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,COLA,PLASTICO,0,COLAS REGULAR,REFRESCOS,COLAS,COLAS REGULAR,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
3690,STA CLARA LECHE ENTERA 750ML TPK6,6,SANTA CLARA ENTERA 1.00 L NO RETORNABLE,LECHE UHT REGULAR,SANTA CLARA ENTERA,750 ML TETRA,750,NO RETORNABLE,750 ML,FAMILIAR,LECHE ENTERA,TETRA PACK,1,LECHE UHT REGULAR,LACTEOS,LECHE,LECHE UHT REGULAR,LÁCTEOS,LECHE,SANTA CLARA,SIN SABOR
377,FANTA NARANJA 2.5 LTS NR 8B,8,FANTA 2.50 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,FANTA,2.5 LTS. NR,2500,NO RETORNABLE,2.5 LTS.,FAMILIAR,NARANJA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,NARANJA
5817,CIEL MINERALIZADA 600ML PNR12,12,CIEL MINERALIZADA 600 ML NO RETORNABLE,AGUA MINERAL INDIVIDUAL,CIEL MINERALIZADA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,AGUA MINERAL,PLASTICO,0,AGUA MINERAL,AGUA,AGUA MINERAL,AGUA MINERAL,AGUA,AGUA MINERAL,CIEL,SIN SABOR
14004,CIEL EXPRIM PINA JENGIBRE 1.00L NR PET 6,6,CIEL EXPRIM 1.00 L NO RETORNABLE,AGUA SABORIZADA,CIEL EXPRIM,1 LTRO. N.R.,1000,NO RETORNABLE,1 LITRO,INDIVIDUAL,PIÑA JENGRIBRE,PLASTICO,1,AGUA SABORIZADA,AGUA,AGUA SABORIZADA,AGUA SABORIZADA,AGUA,AGUA SABORIZADA,CIEL,PIÑA JENGRIBRE
14152,FANTA NARANJA 235 ML NR VID 24B,24,FANTA 235 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,FANTA,235 ML NR VID,235,NO RETORNABLE,235 ML,INDIVIDUAL,NARANJA,VIDRIO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,NARANJA
14126,SPRITE 1.50 L RET PET 12B ETIQ,12,SPRITE 1.50 L RETORNABLE,SABORES FAMILIAR RETORNABLE,SPRITE,1.5 LTS. RET,1500,RETORNABLE,1.5 LTS.,FAMILIAR,LIMA LIMON,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SPRITE,LIMA LIMÓN
3699,SIDRAL MUNDET 1.5 L NR PET 8B,8,SIDRAL MUNDET 1.50 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,SIDRAL MUNDET,1.5 LTS. NR,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,MANZANA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SIDRAL MUNDET,MANZANA
14524,PRED ENER GREEN LL 473 ML NR LAT 6,6,PREDATOR ENERGY 355 ML NO RETORNABLE,BEBIDAS ENERGETICAS,PREDATOR ENERGY,LATA 16 OZ.,473,NO RETORNABLE,473 ML,INDIVIDUAL,LIMA LIMON,LATA,0,BEBIDAS ENERGETICAS,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,BEBIDAS EMERGENTES,ENERGÉTICOS,PREDATOR,CÍTRICOS
9660,JOYA DURAZNO 1.75 LTS PNR 8B,8,JOYA 1.75 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,JOYA,1.750 LTS NR,1750,NO RETORNABLE,1.750 LTS,FAMILIAR,DURAZNO,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,DURAZNO
9345,VFRUT CITPUNCH 2L PNR8,8,VALLE FRUT 2.00 L NO RETORNABLE,NARANJADAS FAMILIAR,VALLE FRUT,2 LTS. NR,2000,NO RETORNABLE,2 LTS.,FAMILIAR,CITRUS,PLASTICO,1,NARANJADAS,CATEGORIAS EN EXPANSION,BEBIDAS DE FRUTA,BEBIDAS DE FRUTA,BEBIDAS EMERGENTES,BEBIDAS DE FRUTA,VALLE FRUT,CITRUS
14508,COCA COLA LIGHT 250 ML NR PET 12,12,COCA-COLA LIGHT 250 ML NO RETORNABLE,COLAS LIGHT INDIVIDUAL,COCA-COLA LIGHT,250 ML. NR PET,250,NO RETORNABLE,250 ML,INDIVIDUAL,COLA,PLASTICO,0,COLAS LIGHT,REFRESCOS,COLAS,COLAS LIGHT,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
647,FANTA NARANJA LATA  12OZ 24B,24,FANTA 355 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,FANTA,LATA,355,NO RETORNABLE,LATA,INDIVIDUAL,NARANJA,LATA,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,NARANJA
9058,FRUTSI UVA 250 ML NR 24B,24,FRUTSI 250 ML NO RETORNABLE,BEBIDAS INFANTILES,FRUTSI,250 ML. NR PET,250,NO RETORNABLE,250 ML,INDIVIDUAL,UVA,PLASTICO,1,BEBIDAS INFANTILES,CATEGORIAS EN EXPANSION,BEBIDAS DE FRUTA,BEBIDAS DE FRUTA,BEBIDAS EMERGENTES,BEBIDAS DE FRUTA,FRUTSI,UVA
9241,DEL VALLE DURAZNO NECTAR LATA 453ML 6B,6,DEL VALLE 453 ML NO RETORNABLE,JUGOS Y NECTARES IMPULSO,DEL VALLE,LATA 453 ML,453,NO RETORNABLE,LATA,INDIVIDUAL,DURAZNO,LATA,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,DEL VALLE,DURAZNO
9862,SIDRAL MUNDET 1 LTO NR PET 12B,12,SIDRAL MUNDET 1.00 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,SIDRAL MUNDET,1 LTRO. N.R.,1000,NO RETORNABLE,1 LITRO,FAMILIAR,MANZANA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SIDRAL MUNDET,MANZANA
9816,MONSTER ENE LOCARB 473 LATA 4,4,MONSTER ENERGY 355 ML NO RETORNABLE,BEBIDAS ENERGETICAS,MONSTER ENERGY,LATA 16 OZ.,473,NO RETORNABLE,473 ML,INDIVIDUAL,LO CARB,LATA,1,BEBIDAS ENERGETICAS,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,BEBIDAS EMERGENTES,ENERGÉTICOS,MONSTER,CÍTRICOS
14353,MONSTER E ZERO SUG 473 ML NR LAT 4 REFO,4,MONSTER ENERGY 355 ML NO RETORNABLE,BEBIDAS ENERGETICAS,MONSTER ENERGY,LATA 16 OZ.,473,NO RETORNABLE,473 ML,INDIVIDUAL,ZERO SUGAR,LATA,0,BEBIDAS ENERGETICAS,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,BEBIDAS EMERGENTES,ENERGÉTICOS,MONSTER,CÍTRICOS
4928,FUZE TEA FRUTOS ROJOS 600 NR 6,6,FUZE TEA 600 ML NO RETORNABLE,TE,FUZE TEA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,FRUTOS,PLASTICO,1,TE,CATEGORIAS EN EXPANSION,TE,TE REGULAR,BEBIDAS EMERGENTES,TÉ LISTO PARA BEBER,FUZE TEA,FRUTOS ROJOS
2232,VITAMINWATER XXX 500ML NR 6B,6,GLACEAU 500 ML NO RETORNABLE,BEBIDAS ENERGETICAS,GLACEAU,500 ML NR PET,500,NO RETORNABLE,500 ML,INDIVIDUAL,XXX,PLASTICO,1,AGUA FUNCIONAL,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,AGUA,AGUA FUNCIONAL,GLACÉAU VITAMINWATER,ACAÍ - MORA AZUL - GRANADA
14382,TOPO CHICO AM 1.5 LTS NR PET 2B,2,TOPO CHICO A.M. 1.50 L NO RETORNABLE,AGUA MINERAL FAMILIAR,TOPO CHICO A.M.,1.5 LTS. NR,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,AGUA MINERAL,PLASTICO,0,AGUA MINERAL,AGUA,AGUA MINERAL,AGUA MINERAL,AGUA,AGUA MINERAL,TOPO CHICO,SIN SABOR
2485,JOYA PONCHE 2.5 LITROS RET 8B,8,JOYA 2.50 L RETORNABLE,SABORES FAMILIAR RETORNABLE,JOYA,2.5 LTS. RET PET,2500,RETORNABLE,2.5 LTS.,FAMILIAR,PONCHE,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,PONCHE
646,COCA-COLA LIGHT LATA 12OZ 24B,24,COCA-COLA LIGHT 355 ML NO RETORNABLE,COLAS LIGHT INDIVIDUAL,COCA-COLA LIGHT,LATA,355,NO RETORNABLE,LATA,INDIVIDUAL,COLA,LATA,0,COLAS LIGHT,REFRESCOS,COLAS,COLAS LIGHT,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
14476,MIX 600ML PNR (24TCHAM) 24BKDITAS64 OBS,24,TOPO CHICO A.M. 600 ML NO RETORNABLE,AGUA MINERAL INDIVIDUAL,TOPO CHICO A.M.,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,AGUA MINERAL,PLASTICO,0,AGUA MINERAL,AGUA,AGUA MINERAL,AGUA MINERAL,AGUA,AGUA MINERAL,TOPO CHICO,SIN SABOR
452,FANTA NARANJA 600 ML NR 6B,6,FANTA 600 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,FANTA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,NARANJA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,NARANJA
732,FANTA NARANJA 250 ML NR 12B,12,FANTA 250 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,FANTA,250 ML. NR PET,250,NO RETORNABLE,250 ML,INDIVIDUAL,NARANJA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,NARANJA
14225,MONSTER E PIPELINE 473 ML NR LAT 4 REFO,4,MONSTER ENERGY 355 ML NO RETORNABLE,BEBIDAS ENERGETICAS,MONSTER ENERGY,LATA 16 OZ.,473,NO RETORNABLE,473 ML,INDIVIDUAL,PIPELINE PUNCH,LATA,1,BEBIDAS ENERGETICAS,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,BEBIDAS EMERGENTES,ENERGÉTICOS,MONSTER,TROPICAL
14482,JOYA PINA 500 ML VRT 24 ETIQ,24,JOYA 500 ML RETORNABLE,SABORES INDIVIDUAL RETORNABLE,JOYA,500 ML RET,500,RETORNABLE,500 ML,INDIVIDUAL,PIÑA,VIDRIO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,PIÑA
3364,ADES FRUTAL MANZANA 200ML TPK 4,4,ADES LACTEO 200 ML NO RETORNABLE,BEBIDAS DE SOYA,ADES FRUTAL,200 ML TETRA,200,NO RETORNABLE,200 ML,INDIVIDUAL,MANZANA,TETRA PACK,1,BEBIDAS DE SOYA,CATEGORIAS EN EXPANSION,BEBIDAS DE SOYA,BEBIDAS DE SOYA,BEBIDAS EMERGENTES,BEBIDAS DE SEMILLAS,ADES,MANZANA
48,FANTA FRESA 12 OZ RET VID 24B,24,FANTA 355 ML RETORNABLE,SABORES INDIVIDUAL RETORNABLE,FANTA,12 OZ. RET,355,RETORNABLE,12 OZ.,INDIVIDUAL,FRESA,VIDRIO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,FRESA
507,FANTA NARANJA 3 LTS. NR PET 6B,6,FANTA 3.00 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,FANTA,3 LTS. NR,3000,NO RETORNABLE,3 LTS.,FAMILIAR,NARANJA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,NARANJA
9191,VALLE FRUT CIITRUS 2.5L NRP 8B,8,VALLE FRUT 2.50 L NO RETORNABLE,NARANJADAS FAMILIAR,VALLE FRUT,2.5 LTS. NR,2500,NO RETORNABLE,2.5 LTS.,FAMILIAR,CITRUS,PLASTICO,1,NARANJADAS,CATEGORIAS EN EXPANSION,BEBIDAS DE FRUTA,BEBIDAS DE FRUTA,BEBIDAS EMERGENTES,BEBIDAS DE FRUTA,VALLE FRUT,CITRUS
9290,FLORIDA 7 PINA 1.0LT TETRA 12B,12,FLORIDA 7 1.00 L NO RETORNABLE,JUGOS Y NECTARES HOGAR,FLORIDA 7,1 LTRO. TETRA,1000,NO RETORNABLE,1 LITRO,FAMILIAR,PIÑA,TETRA PACK,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,FLORIDA 7,PIÑA
2252,SPRITE 1.5 LTS NR 8B,8,SPRITE 1.50 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,SPRITE,1.5 LTS. NR,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,LIMA LIMON,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SPRITE,LIMA LIMÓN
9202,DEL VALLE MANZANA NECTAR 250ML TPK 12B,12,DEL VALLE 250 ML NO RETORNABLE,JUGOS Y NECTARES LONCHERA,DEL VALLE,250 ML TETRA,250,NO RETORNABLE,250 ML,INDIVIDUAL,MANZANA,TETRA PACK,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,DEL VALLE,MANZANA
3552,ADES FRUTAL NARANJA 946ML TPK 3,3,ADES FRUTAL 946 ML NO RETORNABLE,BEBIDAS DE SOYA,ADES FRUTAL,946 ML TETRA,946,NO RETORNABLE,946 ML,FAMILIAR,NARANJA,TETRA PACK,1,BEBIDAS DE SOYA,CATEGORIAS EN EXPANSION,BEBIDAS DE SOYA,BEBIDAS DE SOYA,BEBIDAS EMERGENTES,BEBIDAS DE SEMILLAS,ADES,NARANJA
430,POWERADE MORAS 600 ML NR 6B,6,POWERADE 600 ML NO RETORNABLE,ISOTONICOS,POWERADE,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,MORAS,PLASTICO,1,ISOTONICOS,CATEGORIAS EN EXPANSION,ISOTONICOS,ISOTONICOS REGULAR,BEBIDAS EMERGENTES,ISOTÓNICOS,POWERADE,MORAS
2571,DELAWARE PUNCH 600 ML NR PET 12B,12,DELAWARE PUNCH 600 ML NO RETORNABLE,BEBIDAS REFRESCANTES,DELAWARE PUNCH,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,UVA,PLASTICO,1,BEBIDAS REFRESCANTES,CATEGORIAS EN EXPANSION,BEBIDAS DE FRUTA,BEBIDAS DE FRUTA,BEBIDAS EMERGENTES,BEBIDAS REFRESCANTES,DELAWARE PUNCH,UVA
9429,CIEL EXPRIM MANDARINA 1 LT NR 6B,6,CIEL EXPRIM 1.00 L NO RETORNABLE,AGUA SABORIZADA,CIEL EXPRIM,1 LTRO. N.R.,1000,NO RETORNABLE,1 LITRO,INDIVIDUAL,MANDARINA,PLASTICO,1,AGUA SABORIZADA,AGUA,AGUA SABORIZADA,AGUA SABORIZADA,AGUA,AGUA SABORIZADA,CIEL,MANDARINA
2742,FANTA FRESA 1.75L NR PET 8B,8,FANTA 1.75 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,FANTA,1.750 LTS NR,1750,NO RETORNABLE,1.750 LTS,FAMILIAR,FRESA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,FRESA
2652,MX BURN 450ML LATA (4ORIGINAL4BLUE),8,BURN 450 ML NO RETORNABLE,BEBIDAS ENERGETICAS,BURN,LATA 450 ML,450,NO RETORNABLE,LATA,INDIVIDUAL,SURTIDA,LATA,1,BEBIDAS ENERGETICAS,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,BEBIDAS EMERGENTES,ENERGÉTICOS,BURN,MIXTO
2761,FRESCA 355ML LATA 4B MPK,4,FRESCA 355 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,FRESCA,LATA,355,NO RETORNABLE,LATA,INDIVIDUAL,TORONJA,LATA,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FRESCA,TORONJA
9046,DEL VALLE MANGO NECTAR 413 ML NR VD 24B,24,DEL VALLE 413 ML NO RETORNABLE,JUGOS Y NECTARES IMPULSO,DEL VALLE,413 ML NR VID,413,NO RETORNABLE,413 ML,INDIVIDUAL,MANGO,VIDRIO,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,DEL VALLE,MANGO
4295,ADES FRUTAL PINA COCO 946ML TPK 12,12,ADES FRUTAL 946 ML NO RETORNABLE,BEBIDAS DE SOYA,ADES FRUTAL,946 ML TETRA,946,NO RETORNABLE,946 ML,FAMILIAR,PIÑA COCO,TETRA PACK,1,BEBIDAS DE SOYA,CATEGORIAS EN EXPANSION,BEBIDAS DE SOYA,BEBIDAS DE SOYA,BEBIDAS EMERGENTES,BEBIDAS DE SEMILLAS,ADES,PIÑA COCO
542,SPRITE 1 LTO NR 12B,12,SPRITE 1.00 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,SPRITE,1 LTRO. N.R.,1000,NO RETORNABLE,1 LITRO,FAMILIAR,LIMA LIMON,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SPRITE,LIMA LIMÓN
419,CIEL 600 PNR 12,12,CIEL AGUA PURIFICADA 600 ML NO RETORNABLE,AGUA PURIFICADA INDIVIDUAL,CIEL AGUA PURIFICADA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,AGUA,PLASTICO,1,AGUA PURIFICADA,AGUA,AGUA PURIFICADA,AGUA PURIFICADA,AGUA,AGUA PURIFICADA,CIEL,SIN SABOR
9108,VALLE FRUT NARANJADA 1.5 LT NR 6B,6,VALLE FRUT 1.50 L NO RETORNABLE,NARANJADAS FAMILIAR,VALLE FRUT,1.5 LTS. NR,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,CITRUS,PLASTICO,1,NARANJADAS,CATEGORIAS EN EXPANSION,BEBIDAS DE FRUTA,BEBIDAS DE FRUTA,BEBIDAS EMERGENTES,BEBIDAS DE FRUTA,VALLE FRUT,CITRUS
14060,PULPY SABILA 400ML NRP 6B,6,PULPY 400 ML NO RETORNABLE,BEBIDAS REFRESCANTES,PULPY,400 ML NR,400,NO RETORNABLE,400 ML,INDIVIDUAL,SABILA,PLASTICO,1,BEBIDAS REFRESCANTES,CATEGORIAS EN EXPANSION,BEBIDAS DE FRUTA,BEBIDAS DE FRUTA,BEBIDAS EMERGENTES,BEBIDAS CON ALOE,DEL VALLE,SABILA
780,FRESCA 3 LTS NR 3B,3,FRESCA 3.00 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,FRESCA,3 LTS. NR,3000,NO RETORNABLE,3 LTS.,FAMILIAR,TORONJA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FRESCA,TORONJA
14486,JOYA MANZANA 500 ML VRT 24 ETIQ,24,JOYA 500 ML RETORNABLE,SABORES INDIVIDUAL RETORNABLE,JOYA,500 ML RET,500,RETORNABLE,500 ML,INDIVIDUAL,MANZANA,VIDRIO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,MANZANA
14414,MIX 750 ML TPK 4 (2SCLARACHO2SCLARAFRE),4,SANTA CLARA SABORIZADA 750 ML NO RETORNABLE,LECHE UHT SABORIZADA,SANTA CLARA SABORIZADA,750 ML TETRA,750,NO RETORNABLE,750 ML,INDIVIDUAL,SURTIDA,TETRA PACK,1,MIXTOS,LACTEOS,LECHE,MIXTOS,LÁCTEOS,LECHE SABORIZADA,SANTA CLARA,MIXTO
9469,DEL VALLE Y NADA NARANJA 1.5L NR 8,8,DEL VALLE Y NADA 1.50 L NO RETORNABLE,ADAS FAMILIAR,DEL VALLE Y NADA,1.5 LTS. NR,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,NARANJA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,MINERAL SABORIZADA,& NADA,NARANJA
4130,COCA COLA SIN AZUC 235 ML NR LAT 4,4,COCA-COLA SIN AZUCAR 235 ML NO RETORNABLE,COLAS LIGHT INDIVIDUAL,COCA-COLA SIN AZUCAR,LATA 235 ML,235,NO RETORNABLE,235 ML,INDIVIDUAL,COLA,LATA,0,COLAS LIGHT,REFRESCOS,COLAS,COLAS LIGHT,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
117,FANTA NARANJA 500 ML RET VID 24B,24,FANTA 500 ML RETORNABLE,SABORES INDIVIDUAL RETORNABLE,FANTA,500 ML RET,500,RETORNABLE,500 ML,INDIVIDUAL,NARANJA,VIDRIO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,NARANJA
14385,COSTA - MO ITA TM MO 500 GRS NR BOL 1,1,COSTA 500 G NO RETORNABLE,NOT_SUGGESTED,COSTA,BOLSA 500 GR.,0,NO RETORNABLE,500 GR.,FAMILIAR,MOCHA ITALIA,BOLSA,1,CAFE MOLIDO,CATEGORIAS EN EXPANSION,CAFE,CAFE,BEBIDAS EMERGENTES,BEBIDAS NO PREPARADAS,COSTA,MOCHA ITALIA
9814,SIDRAL MUNDET 3LTO NR PET 6B,6,SIDRAL MUNDET 3.00 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,SIDRAL MUNDET,3 LTS. NR,3000,NO RETORNABLE,3 LTS.,FAMILIAR,MANZANA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SIDRAL MUNDET,MANZANA
2743,FANTA UVA 1.75L NR PET 8B,8,FANTA 1.75 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,FANTA,1.750 LTS NR,1750,NO RETORNABLE,1.750 LTS,FAMILIAR,UVA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,UVA
579,FANTA UVA 2 LTS NR 4B,4,FANTA 2.00 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,FANTA,2 LTS. NR,2000,NO RETORNABLE,2 LTS.,FAMILIAR,UVA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,UVA
14311,SIDRAL MUN MZA-DZO 2.00 L NR PET 4,4,SIDRAL MUNDET 2.00 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,SIDRAL MUNDET,2 LTS. NR,2000,NO RETORNABLE,2 LTS.,FAMILIAR,DURAZNO MANZANA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SIDRAL MUNDET,DURAZNO MANZANA
598,CIEL 1 LTO NR 6B,6,CIEL AGUA PURIFICADA 1.00 L NO RETORNABLE,AGUA PURIFICADA INDIVIDUAL,CIEL AGUA PURIFICADA,1 LTRO. N.R.,1000,NO RETORNABLE,1 LITRO,INDIVIDUAL,AGUA,PLASTICO,1,AGUA PURIFICADA,AGUA,AGUA PURIFICADA,AGUA PURIFICADA,AGUA,AGUA PURIFICADA,CIEL,SIN SABOR
14448,FANTA MISTERIO 600ML NR PET 12B,12,FANTA 600 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,FANTA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,MISTERIO,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,SIN SABOR
764,JOYA UVA 600 ML NR 12B,12,JOYA 600 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,JOYA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,UVA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,UVA
